"Confirmado","Fecha","Tipo","Etiqueta","Dirección","Cantidad","ID"
"true","2013-05-20T07:12:52","Recibido con","Ubuntu13.04","1BwVg7747NGvC6xNfbizQBMM8nwdXUnRqx","73.00","beabd0033ae21f7caa865b88378de7daadb739d32a6a2ed98fa50b3b930412b0-000"
"true","2013-05-20T06:45:18","Recibido con","Ubuntu13.04","1BwVg7747NGvC6xNfbizQBMM8nwdXUnRqx","38.64","2df1aabf1f2a48d4d656d60d41f042a18f7d13db5a4c065c6bb7a440285fcdf9-000"
"true","2013-05-19T23:06:38","Recibido con","Ubuntu13.04","1BwVg7747NGvC6xNfbizQBMM8nwdXUnRqx","72.00","edfb23c8da955cf0f5353e0fce27867a158a712629e700854e4fc5c258f61215-000"
"true","2013-05-19T21:14:51","Recibido con","Ubuntu13.04","1BwVg7747NGvC6xNfbizQBMM8nwdXUnRqx","20.16","b4ecbcf3f4d5c4e00948120edb5b793d15544a43f83c44a100112054f31c19c0-000"
"true","2013-05-19T20:13:49","Recibido con","Ubuntu13.04","1BwVg7747NGvC6xNfbizQBMM8nwdXUnRqx","62.40","e3cdfcf021c36323d5d1058f0cc7ac8840746b45ab702c6d4411e568ed759f23-000"
"true","2013-05-19T06:17:10","Recibido con","Ubuntu13.04","1BwVg7747NGvC6xNfbizQBMM8nwdXUnRqx","50.44","febaa8f8e6cbd6b1632e369b5e6fccce4c6e9c4f72887af6ee9b1d118b43cb99-000"
"true","2013-05-19T02:53:17","Recibido con","Ubuntu13.04","1BwVg7747NGvC6xNfbizQBMM8nwdXUnRqx","50.00","f2165077e7c441a365dd774253c6051827002fdf2eb34316411c37f7a3385fa5-000"
"true","2013-05-18T18:41:32","Recibido con","Ubuntu13.04","1BwVg7747NGvC6xNfbizQBMM8nwdXUnRqx","10.00","b9ee53f3f5e292b628fa4ccc7755d6ab4411044da4ad4ae6ed3fa834862099a8-000"
"true","2013-05-18T13:05:30","Recibido con","Ubuntu13.04","1BwVg7747NGvC6xNfbizQBMM8nwdXUnRqx","24.00","1b08f8cd672e1290c91b6a0027049821c5f5bfb68cf02885b8bdabeb703931cc-000"
"true","2013-05-18T11:38:28","Recibido con","Ubuntu13.04","1BwVg7747NGvC6xNfbizQBMM8nwdXUnRqx","177.76","11c351d39e6f7aa8321955a440a718bbd92ad30f7f7b6e733a385573dcc91d19-000"
"true","2013-05-18T11:01:55","Recibido con","Ubuntu13.04","1BwVg7747NGvC6xNfbizQBMM8nwdXUnRqx","20.00","16234131b0664584e26cdbbc4090ca6b21fb8fd04d57efad1988f160bc792fbe-000"
"true","2013-05-12T06:32:58","Recibido con","Ubuntu13.04","1BwVg7747NGvC6xNfbizQBMM8nwdXUnRqx","36.80","fcb8d8f83936f6158074513135d6606cfef49e721ddb4e5b51451479d2da437d-000"
"true","2013-05-11T10:43:06","Recibido con","Ubuntu13.04","1BwVg7747NGvC6xNfbizQBMM8nwdXUnRqx","147.20","01c48707f02a6688b50cd38502ac1b8306b6a9dd547c0e7f683474e6b7b5ca4b-000"
